simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
670,陡坡B,三岔路口A,30,500,True,120,0,False,90,True
671,天主堂,轮渡码头入口,180,500,True,230,0,False,50,True
672,黄荣远堂,三岔路口A,230,500,True,280,0,False,50,True
673,音乐厅,海天堂构,120,0,False,120,0,False,0,False
674,天主堂,轮渡码头入口,180,500,True,230,0,False,50,True
675,协和礼拜堂,陡坡B,20,0,False,20,0,False,0,False
676,音乐厅,平路C,320,0,False,320,0,False,0,False
677,福建路路口,协和礼拜堂,120,0,False,120,0,False,0,False
678,协和礼拜堂,陡坡B,20,0,False,20,0,False,0,False
679,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
680,轮渡码头入口,天主堂,180,500,True,230,0,False,50,True
681,陡坡B,平路C,60,0,False,60,0,False,0,False
682,音乐厅,陡坡B,300,0,False,300,0,False,0,False
683,音乐厅,福建路路口,160,0,False,160,0,False,0,False
684,协和礼拜堂,三岔路口A,50,500,True,100,0,False,50,True
685,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
686,福建路路口,陡坡B,140,0,False,140,0,False,0,False
687,轮渡码头入口,天主堂,180,500,True,230,0,False,50,True
688,平路C,轮渡码头入口,110,0,False,110,0,False,0,False
689,协和礼拜堂,许家园,150,0,False,150,0,False,0,False
690,协和礼拜堂,黄荣远堂,180,0,False,180,0,False,0,False
691,音乐厅,陡坡B,300,0,False,300,0,False,0,False
692,音乐厅,三岔路口A,330,500,True,380,0,False,50,True
693,陡坡B,三岔路口A,30,500,True,120,0,False,90,True
694,协和礼拜堂,许家园,150,0,False,150,0,False,0,False
695,音乐厅,轮渡码头入口,380,500,True,430,0,False,50,True
696,天主堂,平路C,120,0,False,120,0,False,0,False
697,黄荣远堂,协和礼拜堂,180,0,False,180,0,False,0,False
698,平路C,黄荣远堂,220,0,False,220,0,False,0,False
699,音乐厅,许家园,170,10,False,170,10,False,0,False
700,许家园,海天堂构,50,10,False,50,10,False,0,False
701,许家园,平路C,190,0,False,190,0,False,0,False
702,平路C,陡坡B,60,0,False,60,0,False,0,False
703,音乐厅,许家园,170,10,False,170,10,False,0,False
704,陡坡B,轮渡码头入口,80,500,True,170,0,False,90,True
