simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
877,李传别宅,黄荣远堂,100,50,False,100,50,False
878,海天堂构,轮渡码头入口,300,550,True,320,50,False
879,福建路中段,李传别宅,60,30,False,60,30,False
880,仰高别墅,海天堂构,60,400,True,60,400,True
881,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
882,李传别宅,黄荣远堂,100,50,False,100,50,False
883,李传别宅,天主堂,50,20,False,50,20,False
884,轮渡码头入口,天主堂,120,500,True,140,0,False
885,轮渡码头入口,仰高别墅,360,950,True,380,450,True
886,李传别宅,许家园,130,60,False,130,60,False
887,天主堂,李传别宅,50,20,False,50,20,False
888,鹿礁路口,轮渡码头入口,50,0,False,50,0,False
889,天主堂,鹿礁路口,70,500,True,90,0,False
890,海天堂构,许家园,70,20,False,70,20,False
891,仰高别墅,协和礼拜堂,280,950,True,360,450,True
892,福建路中段,黄荣远堂,40,20,False,40,20,False
893,许家园,轮渡码头入口,300,580,True,320,80,False
894,海天堂构,黄荣远堂,40,10,False,40,10,False
895,黄荣远堂,仰高别墅,100,410,True,100,410,True
896,鹿礁路口,仰高别墅,310,950,True,330,450,True
897,天主堂,鹿礁路口,70,500,True,90,0,False
898,李传别宅,轮渡码头入口,170,520,True,190,20,False
899,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
900,许家园,福建路中段,70,30,False,70,30,False
901,仰高别墅,天主堂,240,450,True,240,450,True
902,黄荣远堂,许家园,30,10,False,30,10,False
903,黄荣远堂,轮渡码头入口,270,570,True,290,70,False
904,鹿礁路口,天主堂,70,500,True,90,0,False
905,李传别宅,许家园,130,60,False,130,60,False
906,许家园,海天堂构,70,20,False,70,20,False
907,李传别宅,轮渡码头入口,170,520,True,190,20,False
908,天主堂,李传别宅,50,20,False,50,20,False
909,天主堂,轮渡码头入口,120,500,True,140,0,False
910,福建路中段,仰高别墅,130,400,True,130,400,True
911,仰高别墅,福建路中段,130,400,True,130,400,True
